productPriceLocal,productId,productName,productCategoryId,productCategoryName,productVendorName,productGroupId,Location,eventPosition
129999.00,20037067,Паровой шкаф для ухода за одеждой LG S3RERB Styler ,cat2_cis_0000000049,Стиральные машины,LG,cat1_cis_0000000183,newSearchResultFirstPartBlock,1
129990.00,20037068,Паровой шкаф для ухода за одеждой LG S3WER Styler ,cat2_cis_0000000049,Стиральные машины,LG,cat1_cis_0000000183,newSearchResultFirstPartBlock,2
5490.00,20038827,Мини-стиральная машина активатор. типа Renova WS-40 PET ,cat2_cis_0000000049,Стиральные машины,Renova,cat1_cis_0000000183,newSearchResultFirstPartBlock,1
6990.00,20038828,Мини-стиральная машина активатор. типа Renova WS-50 PET ,cat2_cis_0000000049,Стиральные машины,Renova,cat1_cis_0000000183,newSearchResultFirstPartBlock,2
3790.00,20038829,Мини-стиральная машина активатор. типа Renova WS-35E ,cat2_cis_0000000049,Стиральные машины,Renova,cat1_cis_0000000183,newSearchResultFirstPartBlock,3
5490.00,20023056,Мини-стиральная машина активатор. типа ВолТек Радуга-5 СМ-5 White ,cat2_cis_0000000049,Стиральные машины,ВолТек,cat1_cis_0000000183,newSearchResultFirstPartBlock,4
3990.00,242460,Мини-стиральная машина активатор. типа ВолТек Радуга СМ-2 Blue ,cat2_cis_0000000049,Стиральные машины,ВолТек,cat1_cis_0000000183,newSearchResultFirstPartBlock,5
3490.00,214282,Мини-стиральная машина активатор. типа ВолТек Принцесса СМ-1 Blue ,cat2_cis_0000000049,Стиральные машины,ВолТек,cat1_cis_0000000183,newSearchResultFirstPartBlock,6
52990.00,20037128,Сушильная машина Bosch Serie | 4 WTM83260OE ,cat2_cis_0000000049,Стиральные машины,Bosch,cat1_cis_0000000183,newSearchResultFirstPartBlock,1
86990.00,20037138,Сушильная машина AEG T8DEE48S ,cat2_cis_0000000049,Стиральные машины,AEG,cat1_cis_0000000183,newSearchResultFirstPartBlock,2
59990.00,20040325,Сушильная машина Electrolux EW8HR458B ,cat2_cis_0000000049,Стиральные машины,Electrolux,cat1_cis_0000000183,newSearchResultFirstPartBlock,3
79990.00,20042717,Сушильная машина Bosch Serie | 6WTW87561OE ,cat2_cis_0000000049,Стиральные машины,Bosch,cat1_cis_0000000183,newSearchResultFirstPartBlock,4
69999.00,20042716,Сушильная машина Bosch Serie | 6 WTW85461OE ,cat2_cis_0000000049,Стиральные машины,Bosch,cat1_cis_0000000183,newSearchResultFirstPartBlock,5
27490.00,20036508,Сушильная машина Hotpoint-Ariston TCS 73B GP (EU) ,cat2_cis_0000000049,Стиральные машины,Hotpoint-Ariston,cat1_cis_0000000183,newSearchResultFirstPartBlock,6
65490.00,20038826,Сушильная машина AEG T6DBG28S ,cat2_cis_0000000049,Стиральные машины,AEG,cat1_cis_0000000183,newSearchResultSecondPartBlock,1
39990.00,20041981,Сушильная машина Beko DH7312GAW ,cat2_cis_0000000049,Стиральные машины,Beko,cat1_cis_0000000183,newSearchResultSecondPartBlock,2
48290.00,20037429,Сушильная машина Gorenje D98F65F ,cat2_cis_0000000049,Стиральные машины,Gorenje,cat1_cis_0000000183,newSearchResultSecondPartBlock,3
32690.00,20040452,Сушильная машина Gorenje D844BH ,cat2_cis_0000000049,Стиральные машины,Gorenje,cat1_cis_0000000183,newSearchResultSecondPartBlock,4
49990.00,20041569,Сушильная машина Samsung DV90K6000CW ,cat2_cis_0000000049,Стиральные машины,Samsung,cat1_cis_0000000183,newSearchResultSecondPartBlock,5
42990.00,20038146,Сушильная машина Whirlpool DSCX 90120 ,cat2_cis_0000000049,Стиральные машины,Whirlpool,cat1_cis_0000000183,newSearchResultSecondPartBlock,6
32990.00,20031456,Стиральная машина узкая Bosch Serie 6 3D Washing  WLT24440OE ,cat2_cis_0000000049,Стиральные машины,Bosch,cat1_cis_0000000183,newSearchResultFirstPartBlock,1
19990.00,20032713,Стиральная машина узкая Hotpoint-Ariston RST 702 ST S ,cat2_cis_0000000049,Стиральные машины,Hotpoint-Ariston,cat1_cis_0000000183,newSearchResultFirstPartBlock,2
32990.00,20029099,Стиральная машина Узкая AEG AMS7000U ,cat2_cis_0000000049,Стиральные машины,AEG,cat1_cis_0000000183,newSearchResultFirstPartBlock,3
14990.00,20056208,Стиральная машина Узкая Indesit MSD 615 ,cat2_cis_0000000049,Стиральные машины,Indesit,cat1_cis_0000000183,newSearchResultFirstPartBlock,4
23990.00,20040496,Стиральная машина Узкая Haier HW60-12829A ,cat2_cis_0000000049,Стиральные машины,Haier,cat1_cis_0000000183,newSearchResultFirstPartBlock,5
30490.00,20056422,Стиральная машина Узкая LG FH2G6HDS2 ,cat2_cis_0000000049,Стиральные машины,LG,cat1_cis_0000000183,newSearchResultFirstPartBlock,6
22990.00,20039531,Стиральная машина узкая Hotpoint-Ariston RST 7229 ST X RU ,cat2_cis_0000000049,Стиральные машины,Hotpoint-Ariston,cat1_cis_0000000183,newSearchResultSecondPartBlock,1
31990.00,20036718,Стиральная машина узкая Samsung WW65K52E69W ,cat2_cis_0000000049,Стиральные машины,Samsung,cat1_cis_0000000183,newSearchResultSecondPartBlock,2
16990.00,20040499,Стиральная машина Узкая Beko MVE 69512 ZAW ,cat2_cis_0000000049,Стиральные машины,Beko,cat1_cis_0000000183,newSearchResultSecondPartBlock,3
26490.00,20026563,Стиральная машина узкая Bosch Serie | 4 VarioPerfect WLG20240OE ,cat2_cis_0000000049,Стиральные машины,Bosch,cat1_cis_0000000183,newSearchResultSecondPartBlock,4
25990.00,20039429,Стиральная машина узкая Samsung WW60J30G03W ,cat2_cis_0000000049,Стиральные машины,Samsung,cat1_cis_0000000183,newSearchResultSecondPartBlock,5
18990.00,20032636,Стиральная машина Узкая Hotpoint-Ariston RST 601 W ,cat2_cis_0000000049,Стиральные машины,Hotpoint-Ariston,cat1_cis_0000000183,newSearchResultSecondPartBlock,6
